Country,lat,lon
United States of America,37.09024,-95.712891
United Kingdom,55.378051,-3.435973
Switzerland,46.818188,8.227512
Canada,56.130366,-106.346771
Hong Kong,22.396428,114.109497
Japan,36.204824,138.252924
South Korea,35.907757,127.766922
Singapore,1.352083,103.819836
Australia,-25.274398,133.775136
China,35.86166,104.195397
France,46.227638,2.213749
Sweden,60.128161,18.643501
Germany,51.165691,10.451526
Republic of Ireland,53.41291,-8.24389
Finland,61.92411,25.748151
Taiwan,23.69781,120.960515
South Africa,-30.559482,22.937506
Turkey,38.963745,35.243322
Netherlands,52.132633,5.291266
Belgium,50.503887,4.469936
Denmark,56.26392,9.501785
Norway,60.472024,8.468946
Spain,40.463667,-3.74922
New Zealand,-40.900557,174.885971
Egypt,26.820553,30.802498
Austria,47.516231,14.550072
Israel,31.046051,34.851612
Brazil,-14.235004,-51.92528
Italy,41.87194,12.56738
Russian Federation,61.52401,105.318756
Greece,39.074208,21.824312
Iceland,64.963051,-19.020835
Czech Republic,49.817492,15.472962
India,20.593684,78.96288
Poland,51.919438,19.145136
Iran,32.427908,53.688046
Portugal,39.399872,-8.224454
Thailand,15.870032,100.992541
Chile,-35.675147,-71.542969
Estonia,58.595272,25.013607
Saudi Arabia,23.885942,45.079162
Mexico,23.634501,-102.552784
Colombia,4.570868,-74.297333
Macau,22.198745,113.543873
Morocco,31.791702,-7.09262
Luxembourg,49.815273,6.129583
Unisted States of America,37.09024,-95.712891
Cyprus,35.126413,33.429859
Unted Kingdom,55.378051,-3.435973
Uganda,1.373333,32.290275
Malaysia,4.210484,101.975766
Lebanon,33.854721,35.862285
Romania,45.943161,24.96676
Slovenia,46.151241,14.995463
Pakistan,30.375321,69.345116
Hungary,47.162494,19.503304
United Arab Emirates,23.424076,53.847818
Belarus,53.709807,27.953389
Serbia,44.016521,21.005859
Slovakia,48.669026,19.699024
Bangladesh,23.684994,90.356331
Ghana,7.946527,-1.023194
Nigeria,9.081999,8.675277
Indonesia,-0.789275,113.921327
Jordan,30.585164,36.238414
Latvia,56.879635,24.603189
Kenya,-0.023559,37.906193
Argentina,-38.416097,-63.616672
Qatar,25.354826,51.183884
Oman,21.4735329,55.975413
Ukraine,48.379433,31.16558
Lithuania,55.169438,23.881275
